Position,Quality,Hatch,Escape,Condition,
1,1,17,234,LIN42_GFP,
2,1,10,241,LIN42_GFP,good worm!
3,1,25,241,LIN42_GFP,
4,0,22,104,LIN42_GFP,
5,1,23,197,LIN42_GFP,
6,1,16,110,LIN42_GFP,
7,1,19,241,LIN42_GFP,good wrom
8,1,21,241,LIN42_GFP,
9,1,11,241,LIN42_GFP,
10,1,13,139,LIN42_GFP,
11,1,15,207,LIN42_GFP,
12,1,3,241,LIN42_GFP,
13,1,23,224,LIN42_GFP,
14,1,8,224,LIN42_GFP,
15,1,8,241,LIN42_GFP,good worms
16,1,15,241,LIN42_GFP,
17,1,7,161,LIN42_GFP,
18,1,24,227,LIN42_GFP,
19,1,9,185,LIN42_GFP,
20,1,5,136,LIN42_GFP,
21,1,20,241,LIN42_GFP,
22,0,,,LIN42_GFP,
23,1,7,241,LIN42_GFP,
24,1,9,186,LIN42_GFP,
25,1,21,194,LIN42_GFP,
26,1,14,203,control,
27,1,16,241,control,
28,0,55,195,control,worm is very small
29,1,13,241,control,
30,1,20,241,control,
31,1,7,151,control,
32,1,8,241,control,
33,1,3,241,control,
34,1,1,237,control,
35,1,14,219,control,
36,1,18,199,control,
37,1,27,241,control,
38,1,29,230,control,
39,1,12,215,control,
40,0,,,control,
41,1,22,190,control,
42,1,28,183,control,
43,0,,,control,
44,0,,,control,
45,1,26,203,control,
46,1,19,241,control,
47,1,40,195,control,
48,0,,,control,
49,1,34,129,control,
50,1,24,184,control,
51,0,,,control,
52,0,,,control,
53,1,30,66,control,
54,0,,,control,
55,0,,,control,
56,1,24,162,LIN29_GFP,
57,1,27,157,LIN29_GFP,
58,1,22,190,LIN29_GFP,
59,1,34,241,LIN29_GFP,
60,1,33,241,LIN29_GFP,
61,1,27,240,LIN29_GFP,
62,1,35,241,LIN29_GFP,
63,1,48,241,LIN29_GFP,good worm
64,1,23,241,LIN29_GFP,
65,1,26,238,LIN29_GFP,
66,1,26,232,LIN29_GFP,
67,1,21,239,LIN29_GFP,
68,0,,,LIN29_GFP,
69,1,24,229,LIN29_GFP,
70,1,31,241,LIN29_GFP,
71,1,40,212,LIN29_GFP,
72,1,29,240,LIN29_GFP,
73,1,40,158,LIN29_GFP,
74,1,46,215,LIN29_GFP,
75,1,27,125,LIN29_GFP,
76,1,34,241,LIN29_GFP,
77,1,9,174,LIN29_GFP,
78,1,34,231,LIN29_GFP,
79,1,26,233,LIN29_GFP,
80,1,32,152,LIN29_GFP,
81,1,40,241,LIN29_GFP,goodwrom
82,1,38,241,LIN29_GFP,
83,1,26,239,LIN29_GFP,
84,1,13,211,LIN29_GFP,
85,1,7,172,LIN29_GFP,
86,1,5,238,LIN29_GFP,
87,0,,,LIN29_GFP,
88,1,17,202,LIN29_GFP,
89,1,21,207,LIN29_GFP,
